yuzuk,orta,isaret,bas,serce,command
2274,2974,2592,2724,2410,4
2274,2975,2593,2719,2411,4
2274,2974,2603,2732,2413,4
2273,2972,2598,2727,2416,4
2275,2974,2602,2723,2412,4
2275,2974,2602,2725,2412,4
2275,2971,2600,2724,2415,4
2273,2979,2595,2719,2414,4
2275,2965,2610,2732,2417,4
2279,2980,2597,2721,2435,4
2281,2982,2601,2716,2447,4
2335,3030,2676,2743,2599,4
2369,3065,2762,2743,2612,4
2365,3052,2740,2746,2598,4
2369,3080,2850,2753,2662,4
2370,3084,2831,2748,2652,4
2369,3067,2810,2750,2625,4
2361,3055,2785,2729,2584,4
2358,3057,2771,2718,2582,4
2353,3050,2763,2729,2577,4
2321,3017,2689,2731,2533,4
2305,3002,2651,2735,2506,4
2277,2982,2524,2725,2471,4
2269,2970,2513,2723,2458,4
2257,2962,2449,2648,2440,4
2254,2952,2435,2627,2437,4
2253,2970,2423,2581,2439,4
2251,2959,2413,2580,2437,4
2253,2974,2430,2574,2439,4
2275,2973,2496,2544,2512,4
2285,2986,2551,2594,2535,4
2299,2993,2592,2675,2578,4
2307,3000,2628,2705,2597,4
2309,3009,2653,2716,2615,4
2313,3020,2676,2713,2610,4
2313,3016,2699,2739,2617,4
2312,3019,2675,2716,2609,4
2311,3012,2655,2720,2591,4
2295,3010,2615,2708,2536,4
2270,2980,2509,2651,2490,4
2253,2968,2442,2623,2460,4
2241,2953,2405,2605,2443,4
2233,2949,2391,2547,2423,4
2233,2951,2392,2569,2415,4
2235,2941,2395,2576,2410,4
2237,2951,2407,2574,2411,4
2248,2949,2430,2569,2423,4
2253,2959,2456,2567,2432,4
2265,2966,2486,2607,2478,4
2275,2977,2527,2649,2494,4
2283,2985,2560,2669,2517,4
2289,2993,2598,2692,2527,4
2291,2986,2621,2695,2525,4
2291,3003,2612,2693,2525,4
2289,2993,2634,2696,2528,4
2287,2995,2618,2693,2513,4
2274,2986,2570,2679,2481,4
2269,2976,2530,2664,2471,4
2261,2974,2499,2614,2460,4
2245,2953,2429,2585,2435,4
2241,2952,2417,2584,2438,4
2237,2947,2407,2584,2428,4
2237,2946,2414,2576,2423,4
2249,2951,2457,2596,2433,4
2257,2961,2501,2632,2448,4
2259,2958,2513,2665,2468,4
2265,2960,2543,2689,2490,4
2273,2972,2557,2678,2518,4
2277,2990,2579,2698,2559,4
2282,2986,2617,2705,2579,4
2285,2995,2651,2703,2600,4
2288,2995,2653,2702,2593,4
2287,2994,2652,2706,2588,4
2288,2991,2638,2706,2561,4
2276,2978,2527,2695,2530,4
2265,2964,2475,2677,2492,4
2257,2957,2456,2653,2470,4
2250,2947,2441,2620,2456,4
2245,2954,2412,2615,2439,4
2243,2947,2409,2596,2437,4
2241,2945,2407,2610,2429,4
2243,2959,2413,2613,2428,4
2243,2952,2411,2615,2427,4
2243,2951,2388,2624,2420,4
2245,2949,2419,2635,2431,4
2262,2953,2473,2657,2472,4
2263,2962,2478,2667,2478,4
2265,2940,2488,2685,2502,4
2265,2959,2493,2681,2485,4
2263,2949,2507,2694,2488,4
2263,2956,2515,2686,2481,4
2263,2959,2508,2694,2504,4
2262,2960,2509,2696,2494,4
2263,2961,2514,2695,2488,4
2265,2966,2505,2703,2494,4
2265,2961,2519,2702,2491,4
2299,2996,2588,2724,2541,4
2303,2991,2597,2718,2540,4
2301,2987,2600,2718,2538,4
2299,2982,2599,2711,2540,4
2298,2989,2592,2713,2540,4
2298,2993,2591,2708,2537,4
2298,3009,2590,2703,2531,4
2297,2988,2589,2706,2536,4
2297,2983,2591,2709,2534,4
2297,2987,2584,2708,2535,4
2298,2988,2587,2704,2535,4
2297,2989,2588,2713,2532,4
2296,2988,2583,2702,2535,4
2297,2987,2584,2703,2540,4
2297,2991,2587,2685,2537,4
2297,2990,2586,2722,2533,4
2299,2959,2587,2710,2535,4
2297,2989,2585,2703,2509,4
2298,2988,2582,2680,2529,4
2297,2990,2583,2701,2532,4
2297,2985,2597,2705,2530,4
2297,2991,2588,2700,2511,4
2297,2989,2585,2702,2529,4
2297,2985,2581,2703,2530,4
2297,2986,2581,2699,2529,4
2297,2988,2585,2698,2531,4
2298,2982,2585,2711,2511,4
2295,2985,2553,2725,2527,4
2296,2989,2580,2712,2527,4
2297,2994,2581,2703,2540,4
2293,2984,2582,2700,2529,4
2293,2983,2576,2700,2525,4
2293,2986,2580,2697,2527,4
2291,2983,2584,2708,2519,4
2295,2985,2582,2699,2525,4
2293,2986,2585,2700,2526,4
2296,2990,2588,2704,2523,4
2295,2987,2585,2698,2528,4
2297,2988,2586,2701,2532,4
2297,2987,2585,2702,2530,4
2297,2986,2585,2699,2527,4
2299,2990,2592,2707,2525,4
2297,2994,2591,2705,2529,4
2295,2990,2593,2695,2527,4
2297,2989,2587,2702,2530,4
2295,3002,2586,2709,2527,4
2297,2986,2586,2697,2529,4
2297,2988,2590,2703,2531,4
2297,2991,2584,2699,2525,4
2298,2988,2588,2695,2529,4
2297,2989,2587,2699,2525,4
2299,2993,2592,2697,2531,4
2977,3405,2695,3253,3507,5
2975,3401,2690,3239,3505,5
2975,3402,2688,3241,3502,5
2975,3399,2690,3240,3507,5
2975,3403,2668,3255,3503,5
2975,3407,2688,3245,3512,5
2975,3402,2688,3239,3503,5
2975,3395,2694,3244,3506,5
2975,3403,2694,3228,3503,5
2975,3404,2691,3243,3501,5
2975,3401,2692,3244,3501,5
2975,3405,2693,3220,3501,5
2973,3403,2694,3212,3501,5
2949,3413,2719,3201,3484,5
2931,3406,2728,3183,3458,5
2907,3405,2749,3176,3435,5
2886,3393,2744,3157,3410,5
2875,3396,2739,3146,3399,5
2866,3398,2745,3134,3392,5
2845,3400,2736,3111,3378,5
2845,3392,2727,3088,3380,5
2841,3389,2780,3104,3377,5
2842,3387,2789,3109,3371,5
2845,3386,2820,3124,3375,5
2845,3385,2797,3108,3376,5
2844,3389,2768,3117,3377,5
2843,3399,2683,3111,3371,5
2840,3384,2594,3110,3375,5
2836,3380,2556,3125,3352,5
2835,3383,2547,3106,3375,5
2834,3381,2557,3116,3376,5
2833,3381,2603,3107,3374,5
2833,3377,2637,3109,3373,5
2835,3378,2657,3116,3374,5
